,|,2,3,4,|,O,|,O
0,tha ka dhi na tham -,tha ki ta tham - tha,ka tham - tha tham -,tha tham - tha tham -,tha ka dhi na thaan -,gu tha ki ta thaan -,gu tha ka thaan - gu,tha thaan - gu tha thaan
48,- gu tha thaan - gu,tha ka dhi na tham -,- - tha ki ta tham,- - - tha ka tham,- - - tha tham -,- - tha tham - -,- tha tham - - -,tha - dhin - gi na
96,thom tha - dhin - gi,na thom tha - dhin -,gi na thom tha dhin -,gi na thom tha dhin -,gi na thom tha dhin -,gi na thom tha dhin gi,na thom tha dhin gi na,thom tha dhin gi na thom
