,|,2,3,4,|,O,|,O
0,tha - tha - tha ri tha ri,ki ta tha ka tha ka tha ri,ki ta tha ka tha dhi - ki,ta - tha ka - dhi na -,dheen - - - gu - dhi -,tha ri tha ri ki ta tha ka,tha ka tha ri ki ta tha ka,tha dhi - ki ta - tha ka
64,- dhi na - tha dhi - ki,ta - tha ka - dhi na -,dheen - - - gu - tha ri,tha ri ki ta tha ka tha ka,tha ri ki ta tha ka tha dhi,- ki ta - tha ka - dhi,na - tha dhi - ki ta -,tha ka - dhi na - tha dhi
128,- ki ta - tha ka - dhi,na - dheen - - - gu -,tha ki ta dheem - tha dhin gi,na thom tha ki ta dheem - tha,dhin gi na thom tha ki ta dheem,- tha dhin gi na thom - -,tha ka tha ki ta dheem - tha,dhin gi na thom tha ka tha ki
192,ta dheem - tha dhin gi na thom,tha ka tha ki ta dheem - tha,dhin gi na thom - - tha ka,dhi na tha ki ta dheem - tha,dhin gi na thom tha ka dhi na,tha ki ta dheem - tha dhin gi,na thom tha ka dhi na tha ki,ta dheem - tha dhin gi na thom
