,|,2,3,4,|,O,|,O
0,tha dheen - gu tha ka,dheen - gu tha ki ta,dheen - gu tha dhin gi,na thom - tha dhin gi,na thom - tha dhin gi,na thom tha dheen - gu,tha dheen - gu tha ka,dheen - gu tha ka dheen
48,- gu tha ki ta dheen,- gu tha ki ta dheen,- gu tha dhin gi na,thom tha dhin gi na thom,tham - tha dhin gi na,thom tha dhin gi na thom,tham - tha dhin gi na,thom tha dhin gi na thom
96,tha dheen - gu tha dheen,- gu tha dheen - gu,tha ka dheen - gu tha,ka dheen - gu tha ka,dheen - gu tha ki ta,dheen - gu tha ki ta,dheen - gu tha ki ta,dheen - gu tha dhin gi
144,na thom tha dhin gi na,thom tha dhin gi na thom,thaan - gu tha dhin gi,na thom tha dhin gi na,thom tha dhin gi na thom,thaan - gu tha dhin gi,na thom tha dhin gi na,thom tha dhin gi na thom
